   0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000     2.000     0.000     2.000     0.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000     2.000     1.000     2.000     1.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000     2.000     2.000     2.000     2.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000     1.000     2.000     1.000     2.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000     0.000     2.000     0.000     2.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000    0.000    0.000    0.000 
   1.000    -4.695    -4.398    -6.312    -5.949     1.372     0.125     0.125     1.065    1.202    2.241    2.822     1.007    -4.402    -1.573    -6.122     1.450     0.037     0.037     1.027    1.220    3.101    2.818     7.877    -1.886     4.632    -4.678     1.531     0.012     0.012     0.883    1.162    4.281    2.657     8.182     3.615     5.158     0.852     1.434     0.036     0.036     0.866    1.114    4.096    2.613     8.018     7.962     4.706     5.251     1.485     0.036     0.036     0.877    1.140    4.280    2.679     3.186     7.748     0.178     4.870     1.351     0.074     0.074     1.027    1.176    4.163    2.734    -0.817     8.901    -3.377     5.884     1.264     0.079     0.079     1.187    1.222    3.957    2.785    -0.367     4.849    -3.232     1.674     1.428     0.067     0.067     1.032    1.212    4.277    2.727 
   2.000    -6.342    -4.744    -7.026    -5.961     1.226    -0.123    -0.123     1.110    1.160    1.396    2.487    -1.765   -12.043    -2.440   -13.384     1.341    -0.039    -0.039     1.188    1.262    1.502    2.666     7.418   -10.259     7.085   -10.510     1.286     0.037     0.037     1.631    1.448    0.417    2.923    12.676     3.702    12.645     1.514     1.449    -0.426    -0.426     1.820    1.567    2.188    3.173     9.376     9.097     8.532     7.811     1.759    -0.680    -0.680     1.713    1.597    1.537    2.540     6.252    13.979     5.997    11.983     1.743    -0.400    -0.400     1.325    1.466    2.012    2.648    -3.644    15.564    -4.497    14.422     2.102    -0.176    -0.176     1.123    1.527    1.425    2.697     0.191     8.866    -0.511     7.496     1.678    -0.324    -0.324     1.211    1.388    1.539    2.503 
   3.000    -6.306    -3.689    -6.795    -5.237     0.729    -0.154    -0.154     0.726    0.711    1.624    1.925    -0.893   -13.688    -1.191   -15.130     0.939    -0.005    -0.005     0.848    0.892    1.472    2.256    12.584    -8.437    12.558    -9.177     0.990    -0.098    -0.098     1.255    1.111    0.740    2.722    15.263     2.835    15.219     1.005     1.010    -0.298    -0.298     1.488    1.189    1.831    2.875    11.887    11.020    11.279     9.953     1.210    -0.275    -0.275     1.054    1.095    1.229    2.259     3.429    13.846     2.719    12.642     1.169    -0.350    -0.350     0.861    0.940    1.397    1.948    -8.075    15.786    -7.995    14.632     1.227    -0.163    -0.163     0.898    1.037    1.157    2.314    -1.230     8.987    -1.581     7.253     1.090    -0.280    -0.280     0.781    0.879    1.769    1.975 
   4.000    -6.503    -3.815    -6.204    -5.470     0.492    -0.119    -0.119     0.516    0.490    1.682    1.785     0.682   -13.131     1.557   -14.007     0.743     0.041     0.041     0.633    0.685    1.238    1.962    13.219    -8.215    13.111   -10.605     0.704    -0.023    -0.023     1.192    0.916    2.393    2.665    15.903     1.481    16.301    -0.720     0.692    -0.301    -0.301     1.452    0.956    2.237    2.995    12.932    11.666    13.747     9.561     0.941    -0.365    -0.365     1.039    0.919    2.257    2.674     1.957    14.348     2.482    12.586     0.918    -0.348    -0.348     0.745    0.750    1.838    2.174    -7.823    16.800    -7.494    15.092     1.037    -0.055    -0.055     0.547    0.751    1.740    1.839    -6.919     4.314    -6.338     2.624     0.653    -0.117    -0.117     0.527    0.574    1.787    1.867 
   5.000    -5.313    -3.426    -5.530    -5.273     0.414    -0.099    -0.099     0.424    0.407    1.859    1.507     1.228   -12.598     0.563   -14.821     0.659     0.043     0.043     0.521    0.585    2.321    1.811    12.874    -7.641    12.559    -9.968     0.532     0.038     0.038     1.125    0.773    2.348    2.592    16.034     0.957    15.808    -1.101     0.540    -0.227    -0.227     1.364    0.828    2.071    2.618    12.943    11.553    13.601     9.182     0.859    -0.431    -0.431     1.032    0.837    2.460    2.544     2.679    15.950     2.324    14.640     0.849    -0.360    -0.360     0.780    0.730    1.358    1.764    -6.825    16.424    -7.455    14.584     0.883    -0.053    -0.053     0.483    0.651    1.944    1.705    -8.033     4.367    -7.986     2.675     0.568    -0.062    -0.062     0.444    0.498    1.693    1.623 
   6.000    -4.589    -3.892    -5.288    -4.712     0.374    -0.079    -0.079     0.379    0.368    1.078    1.338     0.441   -12.835    -0.008   -13.517     0.588     0.036     0.036     0.453    0.515    0.816    1.758    12.219    -6.930    11.499    -7.574     0.468    -0.002    -0.002     0.982    0.678    0.966    1.909    15.686     0.925    15.024     0.457     0.521    -0.237    -0.237     1.202    0.754    0.811    1.687    12.449    11.077    11.882    10.166     0.846    -0.450    -0.450     0.948    0.774    1.073    1.677     3.079    16.351     2.586    15.830     0.837    -0.138    -0.138     0.636    0.716    0.716    1.870    -5.507    15.563    -5.859    15.203     0.786    -0.112    -0.112     0.502    0.618    0.504    1.737    -9.286     4.232    -9.417     3.764     0.525     0.004     0.004     0.438    0.480    0.487    1.634 
   7.000    -4.265    -4.460    -4.972    -4.812     0.329    -0.059    -0.059     0.336    0.327    0.790    1.295     1.653   -10.913     1.042   -11.245     0.447     0.028     0.028     0.416    0.431    0.696    1.667    10.107    -7.582     9.607    -8.084     0.434    -0.013    -0.013     0.652    0.532    0.709    1.746    14.614     0.722    13.647     0.484     0.480    -0.197    -0.197     0.983    0.658    0.996    1.575    11.704    10.432    11.269     9.896     0.786    -0.372    -0.372     0.811    0.706    0.691    1.605     3.838    16.479     3.552    15.959     0.888    -0.160    -0.160     0.562    0.688    0.593    1.731    -4.199    14.731    -4.625    14.474     0.796    -0.077    -0.077     0.463    0.602    0.497    1.872    -8.728     5.315    -9.916     4.697     0.584     0.043     0.043     0.388    0.474    1.339    1.848 
   8.000    -3.909    -4.264    -4.805    -4.376     0.291    -0.041    -0.041     0.296    0.291    0.903    1.286     3.516    -8.265     2.605    -8.264     0.351     0.036     0.036     0.426    0.385    0.912    1.443     8.752    -7.724     7.962    -7.814     0.387     0.041     0.041     0.513    0.444    0.796    1.533    13.649     0.808    12.615     0.793     0.472    -0.087    -0.087     0.638    0.542    1.034    1.657    11.208    10.057    10.483     9.843     0.649    -0.235    -0.235     0.675    0.618    0.756    1.692     4.054    15.711     2.604    15.434     0.750    -0.101    -0.101     0.502    0.605    1.476    2.001    -3.309    13.903    -4.789    13.602     0.671     0.016     0.016     0.419    0.530    1.511    1.995    -8.040     5.696    -8.476     5.701     0.530     0.063     0.063     0.354    0.428    0.437    1.758 
   9.000    -3.178    -3.096    -4.687    -3.887     0.273    -0.024    -0.024     0.289    0.280    1.703    1.240     3.382    -7.183     1.913    -7.988     0.317     0.036     0.036     0.406    0.357    1.675    1.466     9.001    -6.968     7.782    -7.367     0.353     0.036     0.036     0.482    0.411    1.283    1.502    13.185     1.367    11.630     1.063     0.443    -0.103    -0.103     0.641    0.523    1.584    1.561    10.304     9.219     8.753     8.932     0.608    -0.242    -0.242     0.650    0.580    1.577    1.656     3.848    14.474     3.413    13.858     0.743    -0.150    -0.150     0.491    0.585    0.754    1.601    -3.859    12.082    -6.039    11.381     0.577     0.006     0.006     0.377    0.466    2.290    1.822    -7.005     5.783    -8.604     4.909     0.472     0.060     0.060     0.336    0.394    1.822    1.712 
