   0.000     0.000     0.000    -2.355     0.000     0.000    -2.355    0.000    0.000   -0.000 0     1.000     0.000    -1.570     1.000     0.000    -1.570    0.000    0.000    0.000 0     2.000     0.000    -0.785     2.000     0.000    -0.785    0.000    0.000    0.000 0     2.000     1.000     0.000     2.000     1.000     0.000    0.000    0.000    0.000 0     2.000     2.000     0.785     2.000     2.000     0.785    0.000    0.000   -0.000 0     1.000     2.000     1.570     1.000     2.000     1.570    0.000    0.000   -0.000 0     0.000     2.000     2.355     0.000     2.000     2.355    0.000    0.000    0.000 0     0.000     1.000     3.140     0.000     1.000     3.140    0.000    0.000   -0.000 0 
   1.000    -3.419    -3.413    -2.360    -2.446    -3.505    -2.361    0.977    1.029   -0.070 0     0.999    -4.475    -1.569     1.416    -4.743    -1.571    0.496    0.428   -0.086 0     7.463    -5.445    -0.784     7.581    -5.224    -0.783    0.250    1.262    0.019 0     5.820     0.987    -0.006     6.356     1.509    -0.006    0.748    0.742    0.005 0     2.707     2.702     0.785     3.650     2.983     0.785    0.984    0.787    0.006 0     1.002     8.666     1.568     1.037     8.578     1.568    0.094    1.131    0.019 0    -3.696     5.680     2.364    -3.272     5.702     2.364    0.425    0.703    0.013 0    -3.163     1.000     3.140    -2.872     0.755     3.139    0.380    0.474   -0.024 0 
   2.000    -6.338    -6.312    -2.358    -5.952    -6.368    -2.360    0.389    0.222   -0.088 0     1.028    -9.248    -1.557     1.467    -8.734    -1.560    0.675    0.438   -0.124 0     9.375    -7.351    -0.785    10.121    -6.872    -0.784    0.886    0.360    0.029 0    10.193     0.948    -0.018    10.267     1.503    -0.018    0.561    0.648   -0.046 0     5.234     5.257     0.799     5.139     5.444     0.798    0.209    0.372   -0.033 0     1.014    11.446     1.567     1.340    11.755     1.568    0.449    0.841    0.066 0    -5.831     7.781     2.361    -5.522     8.503     2.361    0.786    1.184   -0.005 0    -5.238     1.021     3.130    -4.778     0.996     3.127    0.461    0.583   -0.174 0 
   3.000    -8.578    -8.551    -2.347    -8.005    -7.895    -2.349    0.871    0.537   -0.093 0     1.065   -12.004    -1.560     1.935   -11.273    -1.562    1.137    0.709   -0.120 0    10.170    -8.148    -0.790    11.117    -8.210    -0.789    0.949    0.286    0.062 0    12.660     0.887    -0.038    13.352     0.903    -0.038    0.693    0.399   -0.011 0     6.227     6.283     0.806     7.249     7.156     0.805    1.344    0.448   -0.076 0     1.015    13.078     1.582     2.095    13.577     1.585    1.189    0.664    0.138 0    -8.208    10.162     2.348    -7.275    10.786     2.347    1.122    0.504   -0.041 0    -8.180     1.018    -3.132    -6.871     1.395    -3.134    1.363    0.368   -0.145 0 
   4.000    -9.104    -9.093    -2.053    -8.455    -8.681    -2.083    0.769    0.257   -1.696 0     1.071   -12.631    -1.585     1.383   -12.282    -1.585    0.468    0.386   -0.017 0    10.497    -8.480    -0.835    11.165    -8.529    -0.835    0.670    0.273    0.037 0    13.465     0.844    -0.092    14.144     1.147    -0.093    0.744    0.205   -0.087 0     6.920     7.005     0.806     7.953     7.537     0.805    1.162    0.356   -0.055 0     0.994    13.625     1.678     1.882    14.495     1.687    1.242    0.043    0.478 0    -8.595    10.565     2.303    -7.630    11.434     2.304    1.299    0.144    0.022 0    -8.749     1.009    -3.119    -7.780     1.563    -3.121    1.115    0.251   -0.131 0 
   5.000    -9.118    -9.013     0.009    -8.514    -8.247     0.222    0.975    0.667   12.243 0     1.071   -12.650     2.455     1.606   -12.081     2.598    0.781    0.184    8.190 0    10.520    -8.441     3.074    11.160    -8.196     3.039    0.685    0.182   -2.017 0    13.531     0.878    -1.535    14.326     1.202    -1.582    0.859    0.179   -2.747 0     7.468     7.575     0.797     8.330     8.086     0.796    1.002    0.660   -0.055 0     1.042    13.601    -2.912     2.057    14.501    -2.933    1.357    0.305   -1.169 0    -8.629    10.483     0.075    -7.454    11.505     0.035    1.558    0.120   -2.280 0    -9.508     0.989    -3.099    -8.352     1.768    -3.101    1.393    0.245   -0.105 0 
   6.000    -8.752    -8.982     0.103    -8.016    -8.170     0.551    1.096    0.503   25.640 0     0.985   -12.515     2.086     1.481   -11.780     2.139    0.887    0.127    3.051 0    10.238    -8.379     2.914    10.804    -8.114     2.720    0.625    0.262  -11.139 0    13.514     0.837    -2.188    14.300     1.249    -2.266    0.887    0.174   -4.463 0     7.838     7.951     0.782     8.543     8.390     0.781    0.831    0.149   -0.053 0     0.763    13.497    -2.709     1.911    14.526    -2.760    1.541    0.288   -2.888 0    -8.152    10.406    -0.184    -7.185    11.701    -0.083    1.616    0.165    5.790 0    -9.660     0.979    -3.046    -8.612     1.737    -3.047    1.293    0.270   -0.057 0 
   7.000    -8.189    -8.912     0.153    -7.843    -7.786     0.598    1.178    0.179   25.496 0     0.822   -12.217     2.028     0.934   -11.228     2.078    0.995    0.177    2.894 0    10.398    -8.417     2.883    10.182    -8.083     2.688    0.398    0.450  -11.142 0    13.078     0.270    -2.269    13.901     1.077    -2.365    1.152    0.266   -5.500 0     7.918     8.033    -0.098     8.610     8.399    -0.117    0.782    0.202   -1.071 0     0.444    13.336    -2.600     1.591    14.450    -2.649    1.599    0.266   -2.771 0    -7.254    10.216    -0.254    -6.333    11.105    -0.181    1.280    0.161    4.190 0    -9.682     0.974    -1.439    -8.699     1.842    -1.349    1.312    0.167    5.151 0 
   8.000    -6.825    -8.665     0.215    -6.898    -7.357     0.656    1.310    0.264   25.264 0     0.516   -11.562     1.942     0.422   -10.447     1.993    1.119    0.458    2.949 0    10.214    -8.367     2.876    10.127    -7.631     2.681    0.741    0.248  -11.196 0    12.731    -0.122    -2.348    13.595     0.464    -2.444    1.044    0.168   -5.479 0     7.922     8.038    -1.760     8.875     8.811    -1.818    1.228    0.206   -3.317 0     0.190    13.165    -2.433     1.114    14.206    -2.475    1.392    0.175   -2.418 0    -6.633    10.020    -0.351    -5.698    11.117    -0.268    1.442    0.277    4.777 0    -9.600     0.876    -0.852    -8.755     1.786    -0.733    1.242    0.208    6.845 0 
   9.000    -6.129    -8.470     0.334    -6.075    -7.239     0.778    1.233    0.316   25.427 0     0.315   -10.931     1.761     0.763   -10.184     1.800    0.872    0.151    2.257 0     9.808    -8.257     2.879     9.702    -7.301     2.684    0.962    0.288  -11.162 0    12.262    -0.559    -2.455    12.893     0.262    -2.551    1.036    0.240   -5.534 0     7.921     8.036    -1.835     8.737     8.708    -1.922    1.057    0.264   -4.990 0     0.113    13.052    -2.068     1.008    14.227    -2.117    1.478    0.259   -2.809 0    -6.307     9.878    -0.514    -5.598    11.137    -0.428    1.446    0.316    4.928 0    -9.264     0.537    -0.749    -8.497     1.810    -0.637    1.486    0.477    6.408 0 
